user_id,gender,gender_label,age_group,age_label,time_taken_sec,pref_childhood,region_childhood,region_childhood_label,eastwest_childhood,eastwest_childhood_label,pref_current,region_current,region_current_label,eastwest_current,eastwest_current_label,moved
24,0,male,3,40-49,273,30,7,Chugoku,1,Western_Japan,30,7,Chugoku,1,Western_Japan,0
25,0,male,2,30-39,502,4,1,Tohoku,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,1
26,0,male,3,40-49,329,39,9,Kyushu,1,Western_Japan,39,9,Kyushu,1,Western_Japan,0
27,0,male,2,30-39,296,0,0,Hokkaido,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,1
28,1,female,2,30-39,212,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
29,1,female,2,30-39,513,25,6,Kinki,1,Western_Japan,25,6,Kinki,1,Western_Japan,0
30,0,male,2,30-39,282,11,3,Kanto_Shizuoka,0,Eastern_Japan,12,3,Kanto_Shizuoka,0,Eastern_Japan,1
31,1,female,1,20-29,219,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
32,1,female,2,30-39,446,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
33,0,male,1,20-29,260,11,3,Kanto_Shizuoka,0,Eastern_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,0
34,0,male,5,60+,446,40,9,Kyushu,1,Western_Japan,40,9,Kyushu,1,Western_Japan,0
35,0,male,4,50-59,390,35,8,Shikoku,1,Western_Japan,35,8,Shikoku,1,Western_Japan,0
36,0,male,3,40-49,421,30,7,Chugoku,1,Western_Japan,30,7,Chugoku,1,Western_Japan,0
37,0,male,1,20-29,300,26,6,Kinki,1,Western_Japan,25,6,Kinki,1,Western_Japan,1
38,1,female,2,30-39,418,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
39,1,female,3,40-49,310,14,3,Kanto_Shizuoka,0,Eastern_Japan,43,9,Kyushu,1,Western_Japan,1
40,1,female,3,40-49,259,24,5,Chukyo,0,Eastern_Japan,24,5,Chukyo,0,Eastern_Japan,0
41,1,female,2,30-39,310,0,0,Hokkaido,0,Eastern_Japan,0,0,Hokkaido,0,Eastern_Japan,0
42,0,male,1,20-29,246,23,6,Kinki,1,Western_Japan,23,6,Kinki,1,Western_Japan,0
43,0,male,2,30-39,305,7,2,Hokuriku,0,Eastern_Japan,7,2,Hokuriku,0,Eastern_Japan,0
44,0,male,3,40-49,249,30,7,Chugoku,1,Western_Japan,30,7,Chugoku,1,Western_Japan,0
45,1,female,3,40-49,391,4,1,Tohoku,0,Eastern_Japan,4,1,Tohoku,0,Eastern_Japan,0
46,0,male,0,15-19,264,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
47,0,male,3,40-49,268,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
48,1,female,2,30-39,251,34,7,Chugoku,1,Western_Japan,31,7,Chugoku,1,Western_Japan,1
49,0,male,1,20-29,286,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
50,1,female,0,15-19,285,17,4,Nagano_Yamanashi,0,Eastern_Japan,17,4,Nagano_Yamanashi,0,Eastern_Japan,0
51,1,female,1,20-29,326,24,5,Chukyo,0,Eastern_Japan,24,5,Chukyo,0,Eastern_Japan,0
52,1,female,1,20-29,319,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
53,0,male,2,30-39,227,31,7,Chugoku,1,Western_Japan,31,7,Chugoku,1,Western_Japan,0
54,1,female,2,30-39,291,32,7,Chugoku,1,Western_Japan,25,6,Kinki,1,Western_Japan,1
55,0,male,1,20-29,209,35,8,Shikoku,1,Western_Japan,39,9,Kyushu,1,Western_Japan,1
56,0,male,3,40-49,288,36,8,Shikoku,1,Western_Japan,24,5,Chukyo,0,Eastern_Japan,1
57,0,male,3,40-49,248,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
58,1,female,2,30-39,331,13,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,1
59,0,male,2,30-39,287,31,7,Chugoku,1,Western_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,1
60,0,male,1,20-29,252,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
61,0,male,1,20-29,206,42,9,Kyushu,1,Western_Japan,42,9,Kyushu,1,Western_Japan,0
62,1,female,1,20-29,294,19,5,Chukyo,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
63,1,female,1,20-29,272,13,3,Kanto_Shizuoka,0,Eastern_Japan,31,7,Chugoku,1,Western_Japan,1
64,1,female,3,40-49,214,43,9,Kyushu,1,Western_Japan,45,9,Kyushu,1,Western_Japan,1
65,1,female,1,20-29,362,11,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
66,0,male,2,30-39,413,39,9,Kyushu,1,Western_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
67,0,male,2,30-39,356,46,10,Okinawa,1,Western_Japan,46,10,Okinawa,1,Western_Japan,0
68,1,female,4,50-59,412,18,5,Chukyo,0,Eastern_Japan,26,6,Kinki,1,Western_Japan,1
69,0,male,3,40-49,281,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
70,0,male,2,30-39,239,29,6,Kinki,1,Western_Japan,18,5,Chukyo,0,Eastern_Japan,1
71,0,male,2,30-39,258,13,3,Kanto_Shizuoka,0,Eastern_Japan,10,3,Kanto_Shizuoka,0,Eastern_Japan,1
72,1,female,2,30-39,223,0,0,Hokkaido,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,1
73,1,female,3,40-49,383,26,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,1
74,0,male,2,30-39,303,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
75,1,female,2,30-39,191,11,3,Kanto_Shizuoka,0,Eastern_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,0
76,1,female,1,20-29,355,4,1,Tohoku,0,Eastern_Japan,12,3,Kanto_Shizuoka,0,Eastern_Japan,1
77,1,female,2,30-39,496,14,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,0
78,0,male,1,20-29,352,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
79,1,female,0,15-19,245,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
80,0,male,2,30-39,399,9,3,Kanto_Shizuoka,0,Eastern_Japan,9,3,Kanto_Shizuoka,0,Eastern_Japan,0
81,0,male,4,50-59,290,25,6,Kinki,1,Western_Japan,18,5,Chukyo,0,Eastern_Japan,1
82,1,female,1,20-29,222,30,7,Chugoku,1,Western_Japan,12,3,Kanto_Shizuoka,0,Eastern_Japan,1
83,1,female,0,15-19,328,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
84,1,female,1,20-29,326,29,6,Kinki,1,Western_Japan,33,7,Chugoku,1,Western_Japan,1
85,1,female,2,30-39,320,1,1,Tohoku,0,Eastern_Japan,1,1,Tohoku,0,Eastern_Japan,0
86,0,male,0,15-19,197,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
87,0,male,2,30-39,295,11,3,Kanto_Shizuoka,0,Eastern_Japan,9,3,Kanto_Shizuoka,0,Eastern_Japan,1
88,1,female,2,30-39,421,14,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,0
89,0,male,4,50-59,316,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
90,1,female,2,30-39,548,43,9,Kyushu,1,Western_Japan,43,9,Kyushu,1,Western_Japan,0
91,0,male,3,40-49,399,16,3,Kanto_Shizuoka,0,Eastern_Japan,16,3,Kanto_Shizuoka,0,Eastern_Japan,0
92,0,male,0,15-19,334,0,0,Hokkaido,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
93,0,male,3,40-49,285,35,8,Shikoku,1,Western_Japan,35,8,Shikoku,1,Western_Japan,0
94,1,female,1,20-29,279,14,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,0
95,1,female,2,30-39,509,13,3,Kanto_Shizuoka,0,Eastern_Japan,29,6,Kinki,1,Western_Japan,1
96,1,female,3,40-49,214,0,0,Hokkaido,0,Eastern_Japan,0,0,Hokkaido,0,Eastern_Japan,0
97,1,female,2,30-39,231,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
98,1,female,0,15-19,179,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
99,1,female,2,30-39,292,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
100,0,male,1,20-29,320,34,7,Chugoku,1,Western_Japan,31,7,Chugoku,1,Western_Japan,1
101,0,male,2,30-39,270,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
102,0,male,3,40-49,362,3,1,Tohoku,0,Eastern_Japan,3,1,Tohoku,0,Eastern_Japan,0
103,1,female,2,30-39,196,17,4,Nagano_Yamanashi,0,Eastern_Japan,17,4,Nagano_Yamanashi,0,Eastern_Japan,0
104,0,male,0,15-19,338,27,6,Kinki,1,Western_Japan,27,6,Kinki,1,Western_Japan,0
105,0,male,2,30-39,293,8,3,Kanto_Shizuoka,0,Eastern_Japan,29,6,Kinki,1,Western_Japan,1
106,1,female,2,30-39,292,14,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
107,1,female,1,20-29,248,14,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,0
108,1,female,4,50-59,279,39,9,Kyushu,1,Western_Japan,39,9,Kyushu,1,Western_Japan,0
109,1,female,0,15-19,364,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
110,0,male,0,15-19,208,9,3,Kanto_Shizuoka,0,Eastern_Japan,9,3,Kanto_Shizuoka,0,Eastern_Japan,0
111,0,male,2,30-39,686,4,1,Tohoku,0,Eastern_Japan,4,1,Tohoku,0,Eastern_Japan,0
112,1,female,0,15-19,259,7,2,Hokuriku,0,Eastern_Japan,7,2,Hokuriku,0,Eastern_Japan,0
113,0,male,4,50-59,341,40,9,Kyushu,1,Western_Japan,39,9,Kyushu,1,Western_Japan,1
114,0,male,3,40-49,252,4,1,Tohoku,0,Eastern_Japan,4,1,Tohoku,0,Eastern_Japan,0
115,0,male,3,40-49,353,21,2,Hokuriku,0,Eastern_Japan,9,3,Kanto_Shizuoka,0,Eastern_Japan,1
116,0,male,4,50-59,406,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
117,0,male,0,15-19,332,14,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,0
118,0,male,1,20-29,202,30,7,Chugoku,1,Western_Japan,29,6,Kinki,1,Western_Japan,1
119,1,female,2,30-39,327,30,7,Chugoku,1,Western_Japan,30,7,Chugoku,1,Western_Japan,0
120,0,male,1,20-29,280,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
121,0,male,2,30-39,264,30,7,Chugoku,1,Western_Japan,30,7,Chugoku,1,Western_Japan,0
122,1,female,1,20-29,247,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
123,0,male,2,30-39,207,7,2,Hokuriku,0,Eastern_Japan,7,2,Hokuriku,0,Eastern_Japan,0
124,0,male,1,20-29,274,14,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,0
125,1,female,1,20-29,215,17,4,Nagano_Yamanashi,0,Eastern_Japan,15,4,Nagano_Yamanashi,0,Eastern_Japan,1
126,1,female,0,15-19,202,16,3,Kanto_Shizuoka,0,Eastern_Japan,16,3,Kanto_Shizuoka,0,Eastern_Japan,0
127,1,female,2,30-39,230,20,2,Hokuriku,0,Eastern_Japan,31,7,Chugoku,1,Western_Japan,1
128,1,female,2,30-39,281,31,7,Chugoku,1,Western_Japan,26,6,Kinki,1,Western_Japan,1
129,1,female,1,20-29,261,23,6,Kinki,1,Western_Japan,23,6,Kinki,1,Western_Japan,0
130,0,male,5,60+,489,13,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,1
131,0,male,1,20-29,215,43,9,Kyushu,1,Western_Japan,43,9,Kyushu,1,Western_Japan,0
132,0,male,1,20-29,269,21,2,Hokuriku,0,Eastern_Japan,21,2,Hokuriku,0,Eastern_Japan,0
133,0,male,2,30-39,187,11,3,Kanto_Shizuoka,0,Eastern_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,0
134,1,female,2,30-39,201,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
135,1,female,1,20-29,561,46,10,Okinawa,1,Western_Japan,46,10,Okinawa,1,Western_Japan,0
136,0,male,2,30-39,322,9,3,Kanto_Shizuoka,0,Eastern_Japan,9,3,Kanto_Shizuoka,0,Eastern_Japan,0
137,1,female,1,20-29,230,25,6,Kinki,1,Western_Japan,25,6,Kinki,1,Western_Japan,0
138,1,female,2,30-39,397,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
139,0,male,3,40-49,209,19,5,Chukyo,0,Eastern_Japan,19,5,Chukyo,0,Eastern_Japan,0
140,1,female,3,40-49,314,0,0,Hokkaido,0,Eastern_Japan,0,0,Hokkaido,0,Eastern_Japan,0
141,1,female,2,30-39,222,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
142,1,female,1,20-29,301,11,3,Kanto_Shizuoka,0,Eastern_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,0
143,1,female,2,30-39,207,25,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,1
144,0,male,5,60+,366,4,1,Tohoku,0,Eastern_Japan,4,1,Tohoku,0,Eastern_Japan,0
145,0,male,1,20-29,252,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
146,0,male,2,30-39,320,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
147,0,male,1,20-29,266,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
148,0,male,1,20-29,213,14,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,0
149,0,male,3,40-49,321,12,3,Kanto_Shizuoka,0,Eastern_Japan,12,3,Kanto_Shizuoka,0,Eastern_Japan,0
150,0,male,3,40-49,270,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
151,1,female,2,30-39,258,34,7,Chugoku,1,Western_Japan,31,7,Chugoku,1,Western_Japan,1
152,1,female,2,30-39,213,14,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
153,1,female,2,30-39,206,10,3,Kanto_Shizuoka,0,Eastern_Japan,6,1,Tohoku,0,Eastern_Japan,1
154,0,male,2,30-39,218,12,3,Kanto_Shizuoka,0,Eastern_Japan,12,3,Kanto_Shizuoka,0,Eastern_Japan,0
155,0,male,2,30-39,392,5,1,Tohoku,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,1
156,1,female,1,20-29,259,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
157,0,male,4,50-59,305,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
158,0,male,2,30-39,429,12,3,Kanto_Shizuoka,0,Eastern_Japan,12,3,Kanto_Shizuoka,0,Eastern_Japan,0
159,1,female,3,40-49,211,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
160,0,male,1,20-29,304,43,9,Kyushu,1,Western_Japan,43,9,Kyushu,1,Western_Japan,0
161,1,female,3,40-49,241,39,9,Kyushu,1,Western_Japan,26,6,Kinki,1,Western_Japan,1
162,0,male,1,20-29,222,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
163,1,female,2,30-39,241,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
164,1,female,1,20-29,264,31,7,Chugoku,1,Western_Japan,8,3,Kanto_Shizuoka,0,Eastern_Japan,1
165,1,female,4,50-59,523,18,5,Chukyo,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,1
166,0,male,3,40-49,284,16,3,Kanto_Shizuoka,0,Eastern_Japan,16,3,Kanto_Shizuoka,0,Eastern_Japan,0
167,1,female,3,40-49,290,20,2,Hokuriku,0,Eastern_Japan,20,2,Hokuriku,0,Eastern_Japan,0
168,0,male,3,40-49,191,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
169,0,male,0,15-19,336,11,3,Kanto_Shizuoka,0,Eastern_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,0
170,1,female,4,50-59,335,26,6,Kinki,1,Western_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
171,0,male,1,20-29,234,11,3,Kanto_Shizuoka,0,Eastern_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,0
172,0,male,3,40-49,360,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
173,0,male,2,30-39,245,25,6,Kinki,1,Western_Japan,25,6,Kinki,1,Western_Japan,0
174,0,male,2,30-39,276,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
175,0,male,4,50-59,425,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
176,0,male,3,40-49,288,13,3,Kanto_Shizuoka,0,Eastern_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,1
177,0,male,2,30-39,315,6,1,Tohoku,0,Eastern_Japan,6,1,Tohoku,0,Eastern_Japan,0
178,0,male,1,20-29,211,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
179,1,female,1,20-29,379,39,9,Kyushu,1,Western_Japan,39,9,Kyushu,1,Western_Japan,0
180,1,female,0,15-19,270,43,9,Kyushu,1,Western_Japan,43,9,Kyushu,1,Western_Japan,0
181,0,male,4,50-59,182,39,9,Kyushu,1,Western_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
182,0,male,3,40-49,259,13,3,Kanto_Shizuoka,0,Eastern_Japan,12,3,Kanto_Shizuoka,0,Eastern_Japan,1
183,1,female,1,20-29,316,16,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
184,0,male,3,40-49,286,6,1,Tohoku,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
185,1,female,2,30-39,216,23,6,Kinki,1,Western_Japan,23,6,Kinki,1,Western_Japan,0
186,0,male,3,40-49,207,45,9,Kyushu,1,Western_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
187,0,male,4,50-59,406,42,9,Kyushu,1,Western_Japan,26,6,Kinki,1,Western_Japan,1
188,0,male,3,40-49,275,39,9,Kyushu,1,Western_Japan,36,8,Shikoku,1,Western_Japan,1
189,0,male,1,20-29,219,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
190,0,male,1,20-29,199,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
191,0,male,3,40-49,322,16,3,Kanto_Shizuoka,0,Eastern_Japan,16,3,Kanto_Shizuoka,0,Eastern_Japan,0
192,0,male,2,30-39,277,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
193,0,male,4,50-59,348,16,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,1
194,1,female,2,30-39,272,2,1,Tohoku,0,Eastern_Japan,8,3,Kanto_Shizuoka,0,Eastern_Japan,1
195,1,female,2,30-39,194,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
196,1,female,0,15-19,318,14,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,0
197,1,female,2,30-39,221,26,6,Kinki,1,Western_Japan,0,0,Hokkaido,0,Eastern_Japan,1
198,1,female,2,30-39,318,12,3,Kanto_Shizuoka,0,Eastern_Japan,21,2,Hokuriku,0,Eastern_Japan,1
199,0,male,3,40-49,302,25,6,Kinki,1,Western_Japan,46,10,Okinawa,1,Western_Japan,1
200,1,female,2,30-39,508,14,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,0
201,1,female,1,20-29,207,13,3,Kanto_Shizuoka,0,Eastern_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,1
202,1,female,0,15-19,170,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
203,1,female,1,20-29,280,26,6,Kinki,1,Western_Japan,27,6,Kinki,1,Western_Japan,1
204,0,male,4,50-59,306,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
205,0,male,1,20-29,260,18,5,Chukyo,0,Eastern_Japan,10,3,Kanto_Shizuoka,0,Eastern_Japan,1
206,1,female,2,30-39,267,25,6,Kinki,1,Western_Japan,25,6,Kinki,1,Western_Japan,0
207,1,female,2,30-39,316,27,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,1
208,0,male,4,50-59,315,27,6,Kinki,1,Western_Japan,27,6,Kinki,1,Western_Japan,0
209,1,female,2,30-39,208,11,3,Kanto_Shizuoka,0,Eastern_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,0
210,0,male,1,20-29,220,29,6,Kinki,1,Western_Japan,29,6,Kinki,1,Western_Japan,0
211,1,female,1,20-29,238,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
212,0,male,3,40-49,218,36,8,Shikoku,1,Western_Japan,26,6,Kinki,1,Western_Japan,1
213,1,female,4,50-59,345,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
214,0,male,1,20-29,462,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
215,0,male,4,50-59,298,0,0,Hokkaido,0,Eastern_Japan,12,3,Kanto_Shizuoka,0,Eastern_Japan,1
216,1,female,3,40-49,316,19,5,Chukyo,0,Eastern_Japan,19,5,Chukyo,0,Eastern_Japan,0
217,1,female,2,30-39,246,15,4,Nagano_Yamanashi,0,Eastern_Japan,0,0,Hokkaido,0,Eastern_Japan,1
218,1,female,1,20-29,283,40,9,Kyushu,1,Western_Japan,40,9,Kyushu,1,Western_Japan,0
219,0,male,2,30-39,323,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
220,0,male,2,30-39,251,26,6,Kinki,1,Western_Japan,23,6,Kinki,1,Western_Japan,1
221,0,male,3,40-49,385,13,3,Kanto_Shizuoka,0,Eastern_Japan,20,2,Hokuriku,0,Eastern_Japan,1
222,0,male,2,30-39,226,28,6,Kinki,1,Western_Japan,28,6,Kinki,1,Western_Japan,0
223,1,female,1,20-29,190,0,0,Hokkaido,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
224,1,female,2,30-39,259,16,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
225,1,female,2,30-39,233,13,3,Kanto_Shizuoka,0,Eastern_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,1
226,1,female,3,40-49,303,25,6,Kinki,1,Western_Japan,25,6,Kinki,1,Western_Japan,0
